"IV","DV","N","beta","se","CI_low","CI_high","t","df_error","p","p.adj"
"MinutesPerTrip_n","socialrole",2624,0.00999674831050723,0.0199703818263111,-0.0291626963655907,0.0491561929866052,0.500578726909289,2602,0.616709973859989,1
"MilesPerChain_n","socialrole",2623,-0.0566812168203832,0.0199361877719312,-0.0957736181865564,-0.01758881545421,-2.84313217094526,2601,0.00450211395837014,0.179563984353265
"MinutesPerChain_n","socialrole",2623,-0.021635764940153,0.0196757288896329,-0.0602174386144189,0.016945908734113,-1.09961694743379,2601,0.271600819761957,1
"Average_speed","socialrole",2626,-0.108380556227463,0.0229744415945596,-0.153430573840641,-0.063330538614285,-4.71744028168795,2604,0.00000251443083797975,0.000565014748989363
"LeftTurnCount","socialrole",2628,-0.00304823021129386,0.0199536181384113,-0.0421747754235635,0.0360783150009758,-0.15276578864792,2606,0.878594804358906,1
"RightToLeftTurnRatio_n","socialrole",2629,0.0278315185623217,0.0214944423816834,-0.0143163824313029,0.0699794195559463,1.29482393951464,2607,0.195495634277828,1
"TripsAMPeak","socialrole",2626,-0.069080261455495,0.0197449500656647,-0.107797648538372,-0.0303628743726182,-3.49862933184225,2604,0.000475497155892261,0.0341914872660385
"PercentTripsAMPeak_n","socialrole",2623,-0.0869729403266782,0.0197886081390372,-0.125775956264275,-0.0481699243890815,-4.39510145006639,2601,0.000011516141657126,0.00172518562039139
"TripsPMPeak","socialrole",2629,0.0460568825082312,0.0197876619202361,0.00725576356317166,0.0848580014532907,2.32755555931197,2607,0.0200119003763003,0.462101447999716
"PercentTripsPMPeak_n","socialrole",2627,0.106935460050816,0.0198672444675999,0.0679782758364798,0.145892644265151,5.38250084077884,2605,0.0000000800080767352363,0.0000479427181805776
"TripsAtNight","socialrole",2627,0.0792406015243953,0.0204174875511926,0.0392044593697604,0.11927674367903,3.88101627713577,2605,0.000106601941939718,0.0095817579958162
"PercentTripsAtNight_n","socialrole",2624,0.0861302643477865,0.0206464297074445,0.0456451735308244,0.126615355164749,4.17167837578866,2602,0.0000312270531076675,0.00350849689456607
"TripsLt15Miles","socialrole",2627,-0.00467748139993543,0.0195887305940973,-0.0430885347054787,0.0337335719056079,-0.23878430393774,2605,0.811291624533584,1
"PercentDistLt15Miles_n","socialrole",2624,-0.0101244690050436,0.0206343726864525,-0.0505859174975574,0.0303369794874702,-0.490660373295034,2602,0.623708052593873,1
"TripsVgt60","socialrole",2629,-0.0264293816509552,0.0213339933480629,-0.0682626622481316,0.0154038989462211,-1.23883893745355,2607,0.215516677553073,1
"PercentTripsVgt60_n","socialrole",2625,-0.0343748005100439,0.0218284273035368,-0.0771776345254583,0.00842803350537037,-1.57477220104053,2603,0.115430558911785,1
"SpeedingPer1000Miles","socialrole",2621,-0.011085289536144,0.0203873298263095,-0.0510623390603302,0.0288917599880421,-0.543734252135297,2599,0.586670994462586,1
"DecelerationPer1000Miles","socialrole",2627,0.0107349610364644,0.0199939373944437,-0.0284706521785691,0.0499405742514979,0.536910805744929,2605,0.591375078523609,1
"DaysDriving","iso",2667,-0.0414573420653735,0.0193913502425386,-0.0794810898657852,-0.0034335942649618,-2.13792962051858,2645,0.0326138622497086,0.632994283421207
"Miles_n","iso",2666,-0.0527889474348575,0.0201953146413779,-0.0923891647498396,-0.0131887301198754,-2.61392052425362,2644,0.00900176138596258,0.279003454400909
"Trips","iso",2665,-0.0594161230471194,0.0193398115251255,-0.0973388237098439,-0.021493422384395,-3.07221830832883,2643,0.00214639655338002,0.113485695218503
"TripMinutes_n","iso",2666,-0.0505224660309921,0.019860919175818,-0.0894669801128001,-0.011577951949184,-2.54381308255393,2644,0.0110214378693733,0.314490683630003
