"Variable","n_Obs","Mean","SD","Median","MAD","Min","Max","Skewness","Kurtosis","percentage_Missing"
"anx",2658,1.22095247052922,0.329460151879483,1.08333333333333,0.123549999999995,1,3.66666666666667,2.23577950867158,6.3824371764019,0
"ang",2658,2.04332831703035,0.610344831158386,2,0.617750000000005,1.25,4.75,0.794434571226218,0.358424553425656,0
"Age",2658,71.04589917231,4.07016002109037,70,4.4478,65,79,0.304463756383466,-1.0227279641409,0
"GENDER",2658,1.52558314522197,0.499439032747031,2,0,1,2,-0.102524664513042,-1.99098736936078,0
"RACE_ETH",2658,1.37810383747178,1.20045870723171,1,0,1,7,3.70295025671849,13.1866782526863,0
"EDUCATION",2658,7.5221971407073,1.73163685301025,8,1.4826,2,9,-1.03582835474433,-0.0365466359911924,0
"INCOME",2658,3.51730624529722,1.27121868938233,3,1.4826,1,5,-0.174626846156675,-1.27532324814636,0
"WORK",2658,0.308126410835214,0.461805977473485,0,0,0,1,0.831596305182876,-1.30943342909532,0
"MARRIAGE",2658,2.21896162528217,1.73612726350324,1,0,1,6,0.903261198897867,-0.881077918599363,0
"Site_BASSETT",2658,0.201655379984951,0.401311697790657,0,0,0,1,1.48796697804815,0.214206340004799,0
"Site_JHSPH",2658,0.200902934537246,0.400751004135286,0,0,0,1,1.49380680805766,0.231632504284599,0
"Site_UCDENVER",2658,0.190368698269375,0.392665844504727,0,0,0,1,1.57826030538585,0.491274682672539,0
"Site_UCSD",2658,0.196764484574868,0.397627597000795,0,0,0,1,1.52637220208376,0.330059885034931,0
"Site_UMTRI",2658,0.210308502633559,0.407604394605865,0,0,0,1,1.42250496996989,0.023537533917104,0
"EDUCATION_1st_to_8th_grade",2658,0.00300978179082017,0.0547891628834297,0,0,0,1,18.1555779156356,327.871714533258,0
"EDUCATION_9th_to_12th_grade",2658,0.0146726862302483,0.120261547295905,0,0,0,1,8.07727460697474,63.2899867860138,0
"EDUCATION_High_school_graduate",2658,0.0895410082768999,0.28557678235245,0,0,0,1,2.87676098109562,6.28047889505782,0
"EDUCATION_Vocational_technical_business_or_trade_school_beyond_high_school",2658,0.0270880361173815,0.162370542972767,0,0,0,1,5.82948191986477,32.0069423725436,0
"EDUCATION_Some_college_but_no_degree",2658,0.147479307750188,0.354649801221122,0,0,0,1,1.98949015825523,1.95954497452046,0
"EDUCATION_Associate_degree",2658,0.0680963130173062,0.251958506408093,0,0,0,1,3.43095315037765,9.77879696704604,0
"EDUCATION_Bachelor_degree",2658,0.234010534236268,0.423458459896844,0,0,0,1,1.25721781116851,-0.419719757978898,0
"EDUCATION_Master_professional_or_doctoral_degree",2658,0.416102332580888,0.49300367475468,0,0,0,1,0.340609401807289,-1.88540446619732,0
"INCOME_Less_than_20K",2658,0.0417607223476298,0.200079547427991,0,0,0,1,4.58402013843424,19.0275572660856,0
